Date,Country,Market
1994-08-31,FI,DM
1994-08-31,FR,DM
1994-08-31,GB,DM
1994-08-31,HK,DM
1994-08-31,IE,DM
1994-08-31,IT,DM
1994-08-31,JP,DM
1994-08-31,NL,DM
1994-08-31,NO,DM
1994-08-31,NZ,DM
1994-08-31,SE,DM
1994-08-31,SG,DM
1994-08-31,US,DM
1994-09-30,AT,DM
1994-09-30,AU,DM
1994-09-30,BE,DM
1994-09-30,CA,DM
1994-09-30,CH,DM
1994-09-30,DE,DM
1994-09-30,DK,DM
1994-09-30,ES,DM
1994-09-30,FI,DM
1994-09-30,FR,DM
1994-09-30,GB,DM
1994-09-30,HK,DM
1994-09-30,IE,DM
1994-09-30,IT,DM
1994-09-30,JP,DM
1994-09-30,NL,DM
1994-09-30,NO,DM
1994-09-30,NZ,DM
1994-09-30,SE,DM
1994-09-30,SG,DM
1994-09-30,US,DM
1994-10-31,AT,DM
1994-10-31,AU,DM
1994-10-31,BE,DM
1994-10-31,CA,DM
1994-10-31,CH,DM
1994-10-31,DE,DM
1994-10-31,DK,DM
1994-10-31,ES,DM
1994-10-31,FI,DM
1994-10-31,FR,DM
1994-10-31,GB,DM
1994-10-31,HK,DM
1994-10-31,IE,DM
1994-10-31,IT,DM
1994-10-31,JP,DM
1994-10-31,NL,DM
1994-10-31,NO,DM
1994-10-31,NZ,DM
1994-10-31,SE,DM
1994-10-31,SG,DM
1994-10-31,US,DM
1994-11-30,AT,DM
1994-11-30,AU,DM
1994-11-30,BE,DM
1994-11-30,CA,DM
1994-11-30,CH,DM
1994-11-30,DE,DM
1994-11-30,DK,DM
1994-11-30,ES,DM
1994-11-30,FI,DM
1994-11-30,FR,DM
1994-11-30,GB,DM
1994-11-30,HK,DM
1994-11-30,IE,DM
1994-11-30,IT,DM
1994-11-30,JP,DM
1994-11-30,NL,DM
1994-11-30,NO,DM
1994-11-30,NZ,DM
1994-11-30,SE,DM
1994-11-30,SG,DM
1994-11-30,US,DM
1994-12-30,AT,DM
1994-12-30,AU,DM
1994-12-30,BE,DM
1994-12-30,CA,DM
1994-12-30,CH,DM
1994-12-30,DE,DM
1994-12-30,DK,DM
1994-12-30,ES,DM
1994-12-30,FI,DM
1994-12-30,FR,DM
1994-12-30,GB,DM
1994-12-30,HK,DM
1994-12-30,IE,DM
1994-12-30,IT,DM
1994-12-30,JP,DM
1994-12-30,NL,DM
1994-12-30,NO,DM
1994-12-30,NZ,DM
1994-12-30,SE,DM
1994-12-30,SG,DM
1994-12-30,US,DM
1995-01-31,AT,DM
1995-01-31,AU,DM
1995-01-31,BE,DM
1995-01-31,CA,DM
1995-01-31,CH,DM
1995-01-31,DE,DM
1995-01-31,DK,DM
1995-01-31,ES,DM
1995-01-31,FI,DM
1995-01-31,FR,DM
1995-01-31,GB,DM
1995-01-31,HK,DM
1995-01-31,IE,DM
1995-01-31,IT,DM
1995-01-31,JP,DM
1995-01-31,NL,DM
1995-01-31,NO,DM
1995-01-31,NZ,DM
1995-01-31,SE,DM
1995-01-31,SG,DM
1995-01-31,US,DM
1995-02-28,AT,DM
1995-02-28,AU,DM
1995-02-28,BE,DM
1995-02-28,CA,DM
1995-02-28,CH,DM
1995-02-28,DE,DM
1995-02-28,DK,DM
1995-02-28,ES,DM
1995-02-28,FI,DM
1995-02-28,FR,DM
1995-02-28,GB,DM
1995-02-28,HK,DM
1995-02-28,IE,DM
1995-02-28,IT,DM
1995-02-28,JP,DM
1995-02-28,NL,DM
1995-02-28,NO,DM
1995-02-28,NZ,DM
1995-02-28,SE,DM
1995-02-28,SG,DM
1995-02-28,US,DM
1995-03-31,AT,DM
1995-03-31,AU,DM
1995-03-31,BE,DM
1995-03-31,CA,DM
1995-03-31,CH,DM
1995-03-31,DE,DM
1995-03-31,DK,DM
1995-03-31,ES,DM
1995-03-31,FI,DM
1995-03-31,FR,DM
1995-03-31,GB,DM
1995-03-31,HK,DM
1995-03-31,IE,DM
1995-03-31,IT,DM
1995-03-31,JP,DM
1995-03-31,NL,DM
1995-03-31,NO,DM
1995-03-31,NZ,DM
1995-03-31,SE,DM
1995-03-31,SG,DM
1995-03-31,US,DM
1995-04-28,AT,DM
1995-04-28,AU,DM
1995-04-28,BE,DM
1995-04-28,CA,DM
1995-04-28,CH,DM
1995-04-28,DE,DM
1995-04-28,DK,DM
1995-04-28,ES,DM
1995-04-28,FI,DM
1995-04-28,FR,DM
1995-04-28,GB,DM
1995-04-28,HK,DM
1995-04-28,IE,DM
1995-04-28,IT,DM
1995-04-28,JP,DM
1995-04-28,NL,DM
1995-04-28,NO,DM
1995-04-28,NZ,DM
1995-04-28,SE,DM
1995-04-28,SG,DM
1995-04-28,US,DM
1995-05-31,AT,DM
1995-05-31,AU,DM
1995-05-31,BE,DM
1995-05-31,CA,DM
1995-05-31,CH,DM
1995-05-31,DE,DM
1995-05-31,DK,DM
1995-05-31,ES,DM
1995-05-31,FI,DM
1995-05-31,FR,DM
1995-05-31,GB,DM
1995-05-31,HK,DM
1995-05-31,IE,DM
1995-05-31,IT,DM
1995-05-31,JP,DM
1995-05-31,NL,DM
1995-05-31,NO,DM
1995-05-31,NZ,DM
1995-05-31,SE,DM
1995-05-31,SG,DM
1995-05-31,US,DM
1995-06-30,AT,DM
1995-06-30,AU,DM
1995-06-30,BE,DM
1995-06-30,CA,DM
1995-06-30,CH,DM
1995-06-30,DE,DM
1995-06-30,DK,DM
1995-06-30,ES,DM
1995-06-30,FI,DM
1995-06-30,FR,DM
1995-06-30,GB,DM
1995-06-30,HK,DM
1995-06-30,IE,DM
1995-06-30,IT,DM
1995-06-30,JP,DM
1995-06-30,NL,DM
1995-06-30,NO,DM
1995-06-30,NZ,DM
1995-06-30,SE,DM
1995-06-30,SG,DM
1995-06-30,US,DM
1995-07-31,AT,DM
1995-07-31,AU,DM
1995-07-31,BE,DM
1995-07-31,CA,DM
1995-07-31,CH,DM
1995-07-31,DE,DM
1995-07-31,DK,DM
1995-07-31,ES,DM
1995-07-31,FI,DM
1995-07-31,FR,DM
1995-07-31,GB,DM
1995-07-31,HK,DM
1995-07-31,IE,DM
1995-07-31,IT,DM
1995-07-31,JP,DM
1995-07-31,NL,DM
1995-07-31,NO,DM
1995-07-31,NZ,DM
1995-07-31,SE,DM
1995-07-31,SG,DM
1995-07-31,US,DM
1995-08-31,AT,DM
1995-08-31,AU,DM
1995-08-31,BE,DM
1995-08-31,CA,DM
1995-08-31,CH,DM
1995-08-31,DE,DM
1995-08-31,DK,DM
1995-08-31,ES,DM
1995-08-31,FI,DM
1995-08-31,FR,DM
1995-08-31,GB,DM
1995-08-31,HK,DM
1995-08-31,IE,DM
1995-08-31,IT,DM
1995-08-31,JP,DM
1995-08-31,NL,DM
1995-08-31,NO,DM
1995-08-31,NZ,DM
1995-08-31,SE,DM
1995-08-31,SG,DM
1995-08-31,US,DM
1995-09-29,AT,DM
1995-09-29,AU,DM
1995-09-29,BE,DM
1995-09-29,CA,DM
1995-09-29,CH,DM
1995-09-29,DE,DM
1995-09-29,DK,DM
1995-09-29,ES,DM
1995-09-29,FI,DM
1995-09-29,FR,DM
1995-09-29,GB,DM
1995-09-29,HK,DM
1995-09-29,IE,DM
1995-09-29,IT,DM
1995-09-29,JP,DM
1995-09-29,NL,DM
1995-09-29,NO,DM
1995-09-29,NZ,DM
1995-09-29,SE,DM
1995-09-29,SG,DM
1995-09-29,US,DM
1995-10-31,AT,DM
1995-10-31,AU,DM
1995-10-31,BE,DM
1995-10-31,CA,DM
1995-10-31,CH,DM
1995-10-31,DE,DM
1995-10-31,DK,DM
1995-10-31,ES,DM
1995-10-31,FI,DM
1995-10-31,FR,DM
1995-10-31,GB,DM
1995-10-31,HK,DM
1995-10-31,IE,DM
1995-10-31,IT,DM
1995-10-31,JP,DM
1995-10-31,NL,DM
1995-10-31,NO,DM
1995-10-31,NZ,DM
1995-10-31,SE,DM
1995-10-31,SG,DM
1995-10-31,US,DM
1995-11-30,AT,DM
1995-11-30,AU,DM
1995-11-30,BE,DM
1995-11-30,CA,DM
1995-11-30,CH,DM
1995-11-30,DE,DM
1995-11-30,DK,DM
1995-11-30,ES,DM
1995-11-30,FI,DM
1995-11-30,FR,DM
1995-11-30,GB,DM
1995-11-30,HK,DM
1995-11-30,IE,DM
1995-11-30,IT,DM
1995-11-30,JP,DM
1995-11-30,NL,DM
1995-11-30,NO,DM
1995-11-30,NZ,DM
1995-11-30,SE,DM
1995-11-30,SG,DM
1995-11-30,US,DM
1995-12-29,AT,DM
1995-12-29,AU,DM
1995-12-29,BE,DM
1995-12-29,CA,DM
1995-12-29,CH,DM
1995-12-29,DE,DM
1995-12-29,DK,DM
1995-12-29,ES,DM
1995-12-29,FI,DM
1995-12-29,FR,DM
1995-12-29,GB,DM
1995-12-29,HK,DM
1995-12-29,IE,DM
1995-12-29,IT,DM
1995-12-29,JP,DM
1995-12-29,NL,DM
1995-12-29,NO,DM
1995-12-29,NZ,DM
1995-12-29,SE,DM
1995-12-29,SG,DM
1995-12-29,US,DM
1996-01-31,AT,DM
1996-01-31,AU,DM
1996-01-31,BE,DM
1996-01-31,CA,DM
1996-01-31,CH,DM
1996-01-31,DE,DM
1996-01-31,DK,DM
1996-01-31,ES,DM
1996-01-31,FI,DM
1996-01-31,FR,DM
1996-01-31,GB,DM
1996-01-31,HK,DM
1996-01-31,IE,DM
1996-01-31,IT,DM
1996-01-31,JP,DM
1996-01-31,NL,DM
1996-01-31,NO,DM
1996-01-31,NZ,DM
1996-01-31,SE,DM
1996-01-31,SG,DM
1996-01-31,US,DM
1996-02-29,AT,DM
1996-02-29,AU,DM
1996-02-29,BE,DM
1996-02-29,CA,DM
1996-02-29,CH,DM
1996-02-29,DE,DM
1996-02-29,DK,DM
1996-02-29,ES,DM
1996-02-29,FI,DM
1996-02-29,FR,DM
1996-02-29,GB,DM
1996-02-29,HK,DM
1996-02-29,IE,DM
1996-02-29,IT,DM
1996-02-29,JP,DM
1996-02-29,NL,DM
1996-02-29,NO,DM
1996-02-29,NZ,DM
1996-02-29,SE,DM
1996-02-29,SG,DM
1996-02-29,US,DM
1996-03-29,AT,DM
1996-03-29,AU,DM
1996-03-29,BE,DM
1996-03-29,CA,DM
1996-03-29,CH,DM
1996-03-29,DE,DM
1996-03-29,DK,DM
1996-03-29,ES,DM
1996-03-29,FI,DM
1996-03-29,FR,DM
1996-03-29,GB,DM
1996-03-29,HK,DM
1996-03-29,IE,DM
1996-03-29,IT,DM
1996-03-29,JP,DM
1996-03-29,NL,DM
1996-03-29,NO,DM
1996-03-29,NZ,DM
1996-03-29,SE,DM
1996-03-29,SG,DM
1996-03-29,US,DM
1996-04-30,AT,DM
1996-04-30,AU,DM
1996-04-30,BE,DM
1996-04-30,CA,DM
1996-04-30,CH,DM
1996-04-30,DE,DM
1996-04-30,DK,DM
1996-04-30,ES,DM
1996-04-30,FI,DM
1996-04-30,FR,DM
1996-04-30,GB,DM
1996-04-30,HK,DM
1996-04-30,IE,DM
1996-04-30,IT,DM
1996-04-30,JP,DM
1996-04-30,NL,DM
1996-04-30,NO,DM
1996-04-30,NZ,DM
1996-04-30,SE,DM
1996-04-30,SG,DM
1996-04-30,US,DM
1996-05-31,AT,DM
1996-05-31,AU,DM
1996-05-31,BE,DM
1996-05-31,CA,DM
1996-05-31,CH,DM
1996-05-31,DE,DM
1996-05-31,DK,DM
1996-05-31,ES,DM
1996-05-31,FI,DM
1996-05-31,FR,DM
1996-05-31,GB,DM
1996-05-31,HK,DM
1996-05-31,IE,DM
1996-05-31,IT,DM
1996-05-31,JP,DM
1996-05-31,NL,DM
1996-05-31,NO,DM
1996-05-31,NZ,DM
1996-05-31,SE,DM
1996-05-31,SG,DM
1996-05-31,US,DM
1996-06-28,AT,DM
1996-06-28,AU,DM
1996-06-28,BE,DM
1996-06-28,CA,DM
1996-06-28,CH,DM
1996-06-28,DE,DM
1996-06-28,DK,DM
1996-06-28,ES,DM
1996-06-28,FI,DM
1996-06-28,FR,DM
1996-06-28,GB,DM
1996-06-28,HK,DM
1996-06-28,IE,DM
1996-06-28,IT,DM
1996-06-28,JP,DM
1996-06-28,NL,DM
1996-06-28,NO,DM
1996-06-28,NZ,DM
1996-06-28,SE,DM
1996-06-28,SG,DM
1996-06-28,US,DM
1996-07-31,AT,DM
1996-07-31,AU,DM
1996-07-31,BE,DM
1996-07-31,CA,DM
1996-07-31,CH,DM
1996-07-31,DE,DM
1996-07-31,DK,DM
1996-07-31,ES,DM
1996-07-31,FI,DM
1996-07-31,FR,DM
1996-07-31,GB,DM
1996-07-31,HK,DM
1996-07-31,IE,DM
1996-07-31,IT,DM
1996-07-31,JP,DM
1996-07-31,NL,DM
1996-07-31,NO,DM
1996-07-31,NZ,DM
1996-07-31,SE,DM
1996-07-31,SG,DM
1996-07-31,US,DM
1996-08-30,AT,DM
1996-08-30,AU,DM
1996-08-30,BE,DM
1996-08-30,CA,DM
1996-08-30,CH,DM
1996-08-30,DE,DM
1996-08-30,DK,DM
1996-08-30,ES,DM
1996-08-30,FI,DM
1996-08-30,FR,DM
1996-08-30,GB,DM
1996-08-30,HK,DM
1996-08-30,IE,DM
1996-08-30,IT,DM
1996-08-30,JP,DM
1996-08-30,NL,DM
1996-08-30,NO,DM
1996-08-30,NZ,DM
1996-08-30,SE,DM
1996-08-30,SG,DM
1996-08-30,US,DM
1996-09-30,AT,DM
1996-09-30,AU,DM
1996-09-30,BE,DM
1996-09-30,CA,DM
1996-09-30,CH,DM
1996-09-30,DE,DM
1996-09-30,DK,DM
1996-09-30,ES,DM
1996-09-30,FI,DM
1996-09-30,FR,DM
1996-09-30,GB,DM
1996-09-30,HK,DM
1996-09-30,IE,DM
1996-09-30,IT,DM
1996-09-30,JP,DM
1996-09-30,NL,DM
1996-09-30,NO,DM
1996-09-30,NZ,DM
1996-09-30,SE,DM
1996-09-30,SG,DM
1996-09-30,US,DM
1996-10-31,AT,DM
1996-10-31,AU,DM
1996-10-31,BE,DM
1996-10-31,CA,DM
1996-10-31,CH,DM
1996-10-31,DE,DM
1996-10-31,DK,DM
1996-10-31,ES,DM
1996-10-31,FI,DM
1996-10-31,FR,DM
1996-10-31,GB,DM
1996-10-31,HK,DM
1996-10-31,IE,DM
1996-10-31,IT,DM
1996-10-31,JP,DM
1996-10-31,NL,DM
1996-10-31,NO,DM
1996-10-31,NZ,DM
1996-10-31,SE,DM
1996-10-31,SG,DM
1996-10-31,US,DM
1996-11-29,AT,DM
1996-11-29,AU,DM
1996-11-29,BE,DM
1996-11-29,CA,DM
1996-11-29,CH,DM
1996-11-29,DE,DM
1996-11-29,DK,DM
1996-11-29,ES,DM
1996-11-29,FI,DM
1996-11-29,FR,DM
1996-11-29,GB,DM
1996-11-29,HK,DM
1996-11-29,IE,DM
1996-11-29,IT,DM
1996-11-29,JP,DM
1996-11-29,NL,DM
1996-11-29,NO,DM
1996-11-29,NZ,DM
1996-11-29,SE,DM
1996-11-29,SG,DM
1996-11-29,US,DM
1996-12-31,AT,DM
1996-12-31,AU,DM
1996-12-31,BE,DM
1996-12-31,CA,DM
1996-12-31,CH,DM
1996-12-31,DE,DM
1996-12-31,DK,DM
1996-12-31,ES,DM
1996-12-31,FI,DM
1996-12-31,FR,DM
1996-12-31,GB,DM
1996-12-31,HK,DM
1996-12-31,IE,DM
1996-12-31,IT,DM
1996-12-31,JP,DM
1996-12-31,NL,DM
1996-12-31,NO,DM
1996-12-31,NZ,DM
1996-12-31,SE,DM
1996-12-31,SG,DM
1996-12-31,US,DM
1997-01-31,AT,DM
1997-01-31,AU,DM
1997-01-31,BE,DM
1997-01-31,CA,DM
1997-01-31,CH,DM
1997-01-31,DE,DM
1997-01-31,DK,DM
1997-01-31,ES,DM
1997-01-31,FI,DM
1997-01-31,FR,DM
1997-01-31,GB,DM
1997-01-31,HK,DM
1997-01-31,IE,DM
1997-01-31,IT,DM
1997-01-31,JP,DM
1997-01-31,NL,DM
1997-01-31,NO,DM
1997-01-31,NZ,DM
1997-01-31,SE,DM
1997-01-31,SG,DM
1997-01-31,US,DM
1997-02-28,AT,DM
1997-02-28,AU,DM
1997-02-28,BE,DM
1997-02-28,CA,DM
1997-02-28,CH,DM
1997-02-28,DE,DM
1997-02-28,DK,DM
1997-02-28,ES,DM
1997-02-28,FI,DM
1997-02-28,FR,DM
1997-02-28,GB,DM
1997-02-28,HK,DM
1997-02-28,IE,DM
1997-02-28,IT,DM
1997-02-28,JP,DM
1997-02-28,NL,DM
1997-02-28,NO,DM
1997-02-28,NZ,DM
1997-02-28,SE,DM
1997-02-28,SG,DM
1997-02-28,US,DM
1997-03-31,AT,DM
1997-03-31,AU,DM
1997-03-31,BE,DM
1997-03-31,CA,DM
1997-03-31,CH,DM
1997-03-31,DE,DM
1997-03-31,DK,DM
1997-03-31,ES,DM
1997-03-31,FI,DM
1997-03-31,FR,DM
1997-03-31,GB,DM
1997-03-31,HK,DM
1997-03-31,IE,DM
1997-03-31,IT,DM
1997-03-31,JP,DM
1997-03-31,NL,DM
1997-03-31,NO,DM
1997-03-31,NZ,DM
1997-03-31,SE,DM
1997-03-31,SG,DM
1997-03-31,US,DM
1997-04-30,AT,DM
1997-04-30,AU,DM
1997-04-30,BE,DM
1997-04-30,CA,DM
1997-04-30,CH,DM
1997-04-30,DE,DM
1997-04-30,DK,DM
1997-04-30,ES,DM
1997-04-30,FI,DM
1997-04-30,FR,DM
1997-04-30,GB,DM
1997-04-30,HK,DM
1997-04-30,IE,DM
1997-04-30,IT,DM
1997-04-30,JP,DM
1997-04-30,NL,DM
1997-04-30,NO,DM
1997-04-30,NZ,DM
1997-04-30,SE,DM
1997-04-30,SG,DM
1997-04-30,US,DM
1997-05-30,AT,DM
1997-05-30,AU,DM
1997-05-30,BE,DM
1997-05-30,CA,DM
1997-05-30,CH,DM
1997-05-30,DE,DM
1997-05-30,DK,DM
1997-05-30,ES,DM
1997-05-30,FI,DM
1997-05-30,FR,DM
1997-05-30,GB,DM
1997-05-30,HK,DM
1997-05-30,IE,DM
1997-05-30,IT,DM
1997-05-30,JP,DM
1997-05-30,NL,DM
1997-05-30,NO,DM
1997-05-30,NZ,DM
1997-05-30,SE,DM
1997-05-30,SG,DM
1997-05-30,US,DM
1997-06-30,AT,DM
1997-06-30,AU,DM
1997-06-30,BE,DM
1997-06-30,CA,DM
1997-06-30,CH,DM
1997-06-30,DE,DM
1997-06-30,DK,DM
1997-06-30,ES,DM
1997-06-30,FI,DM
1997-06-30,FR,DM
1997-06-30,GB,DM
1997-06-30,HK,DM
1997-06-30,IE,DM
1997-06-30,IT,DM
1997-06-30,JP,DM
1997-06-30,NL,DM
1997-06-30,NO,DM
1997-06-30,NZ,DM
1997-06-30,SE,DM
1997-06-30,SG,DM
1997-06-30,US,DM
1997-07-31,AT,DM
1997-07-31,AU,DM
1997-07-31,BE,DM
1997-07-31,CA,DM
1997-07-31,CH,DM
1997-07-31,DE,DM
1997-07-31,DK,DM
1997-07-31,ES,DM
1997-07-31,FI,DM
1997-07-31,FR,DM
1997-07-31,GB,DM
1997-07-31,HK,DM
1997-07-31,IE,DM
1997-07-31,IT,DM
1997-07-31,JP,DM
1997-07-31,NL,DM
1997-07-31,NO,DM
1997-07-31,NZ,DM
1997-07-31,SE,DM
1997-07-31,SG,DM
1997-07-31,US,DM
1997-08-29,AT,DM
1997-08-29,AU,DM
1997-08-29,BE,DM
1997-08-29,CA,DM
1997-08-29,CH,DM
1997-08-29,DE,DM
1997-08-29,DK,DM
1997-08-29,ES,DM
1997-08-29,FI,DM
1997-08-29,FR,DM
1997-08-29,GB,DM
1997-08-29,HK,DM
1997-08-29,IE,DM
1997-08-29,IT,DM
1997-08-29,JP,DM
1997-08-29,NL,DM
1997-08-29,NO,DM
1997-08-29,NZ,DM
1997-08-29,SE,DM
1997-08-29,SG,DM
1997-08-29,US,DM
1997-09-30,AT,DM
1997-09-30,AU,DM
1997-09-30,BE,DM
1997-09-30,CA,DM
1997-09-30,CH,DM
1997-09-30,DE,DM
1997-09-30,DK,DM
1997-09-30,ES,DM
1997-09-30,FI,DM
1997-09-30,FR,DM
1997-09-30,GB,DM
1997-09-30,HK,DM
1997-09-30,IE,DM
1997-09-30,IT,DM
1997-09-30,JP,DM
1997-09-30,NL,DM
1997-09-30,NO,DM
1997-09-30,NZ,DM
1997-09-30,SE,DM
1997-09-30,SG,DM
1997-09-30,US,DM
1997-10-31,AT,DM
1997-10-31,AU,DM
1997-10-31,BE,DM
1997-10-31,CA,DM
1997-10-31,CH,DM
1997-10-31,DE,DM
1997-10-31,DK,DM
1997-10-31,ES,DM
1997-10-31,FI,DM
1997-10-31,FR,DM
1997-10-31,GB,DM
1997-10-31,HK,DM
1997-10-31,IE,DM
1997-10-31,IT,DM
1997-10-31,JP,DM
1997-10-31,NL,DM
1997-10-31,NO,DM
1997-10-31,NZ,DM
1997-10-31,SE,DM
1997-10-31,SG,DM
1997-10-31,US,DM
1997-11-28,AT,DM
1997-11-28,AU,DM
1997-11-28,BE,DM
1997-11-28,CA,DM
1997-11-28,CH,DM
1997-11-28,DE,DM
1997-11-28,DK,DM
1997-11-28,ES,DM
1997-11-28,FI,DM
1997-11-28,FR,DM
1997-11-28,GB,DM
1997-11-28,HK,DM
1997-11-28,IE,DM
1997-11-28,IT,DM
1997-11-28,JP,DM
1997-11-28,NL,DM
1997-11-28,NO,DM
1997-11-28,NZ,DM
1997-11-28,SE,DM
1997-11-28,SG,DM
1997-11-28,US,DM
1997-12-31,AT,DM
1997-12-31,AU,DM
1997-12-31,BE,DM
1997-12-31,CA,DM
1997-12-31,CH,DM
1997-12-31,DE,DM
1997-12-31,DK,DM
1997-12-31,ES,DM
1997-12-31,FI,DM
1997-12-31,FR,DM
1997-12-31,GB,DM
1997-12-31,HK,DM
1997-12-31,IE,DM
1997-12-31,IT,DM
1997-12-31,JP,DM
1997-12-31,NL,DM
1997-12-31,NO,DM
1997-12-31,NZ,DM
1997-12-31,PT,DM
1997-12-31,SE,DM
1997-12-31,SG,DM
1997-12-31,US,DM
1998-01-30,AT,DM
1998-01-30,AU,DM
1998-01-30,BE,DM
1998-01-30,CA,DM
1998-01-30,CH,DM
1998-01-30,DE,DM
1998-01-30,DK,DM
1998-01-30,ES,DM
1998-01-30,FI,DM
1998-01-30,FR,DM
1998-01-30,GB,DM
1998-01-30,HK,DM
1998-01-30,IE,DM
1998-01-30,IT,DM
1998-01-30,JP,DM
1998-01-30,NL,DM
1998-01-30,NO,DM
1998-01-30,NZ,DM
1998-01-30,PT,DM
1998-01-30,SE,DM
1998-01-30,SG,DM
1998-01-30,US,DM
1998-02-27,AT,DM
1998-02-27,AU,DM
1998-02-27,BE,DM
1998-02-27,CA,DM
1998-02-27,CH,DM
1998-02-27,DE,DM
1998-02-27,DK,DM
1998-02-27,ES,DM
1998-02-27,FI,DM
1998-02-27,FR,DM
1998-02-27,GB,DM
1998-02-27,HK,DM
1998-02-27,IE,DM
1998-02-27,IT,DM
1998-02-27,JP,DM
1998-02-27,NL,DM
1998-02-27,NO,DM
1998-02-27,NZ,DM
1998-02-27,PT,DM
1998-02-27,SE,DM
1998-02-27,SG,DM
1998-02-27,US,DM
1998-03-31,AT,DM
1998-03-31,AU,DM
1998-03-31,BE,DM
1998-03-31,CA,DM
1998-03-31,CH,DM
1998-03-31,DE,DM
1998-03-31,DK,DM
1998-03-31,ES,DM
1998-03-31,FI,DM
1998-03-31,FR,DM
1998-03-31,GB,DM
1998-03-31,HK,DM
1998-03-31,IE,DM
1998-03-31,IT,DM
1998-03-31,JP,DM
1998-03-31,NL,DM
1998-03-31,NO,DM
1998-03-31,NZ,DM
1998-03-31,PT,DM
1998-03-31,SE,DM
1998-03-31,SG,DM
1998-03-31,US,DM
